Author;Date;Content;Attachments;
"green#2773";"27-Nov-17 10:52 PM";"I can't find my rubber band gun";"";
"green#2773";"27-Nov-17 10:53 PM";"My mom might have thrown it away";"";
"Epik Xiang#0788";"27-Nov-17 10:53 PM";"wow gay";"";
"green#2773";"27-Nov-17 10:55 PM";"Eric I think that rubber band gun was supposed to be your birthday gift";"";
"green#2773";"27-Nov-17 10:56 PM";"But it didn't arrive in time";"";
"green#2773";"27-Nov-17 10:56 PM";"So I made it mine";"";
"Epik Xiang#0788";"27-Nov-17 11:18 PM";"Wut";"";
"Epik Xiang#0788";"27-Nov-17 11:18 PM";"That's gay";"";
"olux#0673";"27-Nov-17 11:18 PM";"Guys";"";
"olux#0673";"27-Nov-17 11:18 PM";"for the part on African American analysis";"";
"olux#0673";"27-Nov-17 11:19 PM";"it's kinda of weird to have the non-racist 2017 analysis and then suddenly ""Don't need to worry about black people dominating in the Western Frontier"" for satire";"";
"Twangybeast#1791";"27-Nov-17 11:19 PM";"oh well";"";
"green#2773";"27-Nov-17 11:19 PM";"do u wanna change it";"";
"green#2773";"27-Nov-17 11:20 PM";"have u printed yet";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"we either have to be racist the entire way";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"or take out the satire";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"or ignore it";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"being racist the entire way makes it kinda weird";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"and its good to keep the satire";"";
"olux#0673";"27-Nov-17 11:23 PM";"but then u would need racist FOA-style analysis";"";
"olux#0673";"27-Nov-17 11:23 PM";"bede would get so mad";"";
"olux#0673";"27-Nov-17 11:24 PM";"lol whatever i'll just keep it like it is";"";
"Twangybeast#1791";"27-Nov-17 11:24 PM";"good idea";"";
"Epik Xiang#0788";"27-Nov-17 11:24 PM";"wasnt the only group that got 100 last year racist";"";
"olux#0673";"27-Nov-17 11:25 PM";"yeah but that was consistent racism";"";
"green#2773";"27-Nov-17 11:27 PM";"i dont think they were racist to blacks right";"";
"green#2773";"27-Nov-17 11:27 PM";"we have 0 black representation in our class";"";
"olux#0673";"27-Nov-17 11:27 PM";"we have dyuthi though";"";
"green#2773";"27-Nov-17 11:28 PM";"truee";"";
"Twangybeast#1791";"27-Nov-17 11:38 PM";"wait what are we wearing?";"";
"green#2773";"27-Nov-17 11:40 PM";"bleu jeans and flannel thing";"";
"Twangybeast#1791";"27-Nov-17 11:40 PM";"idk if i have flannel thing";"";
"Twangybeast#1791";"27-Nov-17 11:40 PM";"i'll just wear something that looks like khakis";"";
"green#2773";"27-Nov-17 11:40 PM";"u can wear one of ours";"";
"green#2773";"27-Nov-17 11:40 PM";"just wear a white or light colored shirt";"";
"Twangybeast#1791";"27-Nov-17 11:40 PM";"is  a black shirt fine?";"";
"green#2773";"27-Nov-17 11:41 PM";"probs";"";
"Twangybeast#1791";"28-Nov-17 12:03 AM";"i think i found some flannel for tomorrow";"";
